A_physical,E_group,Yield_physical
101.99999998000001,0.525 MeV,4.359044159733421
101.99999998000001,14.000 MeV,3.263676795231989
103.00000000000001,0.000 MeV,8.973557693096975
103.00000000000001,0.525 MeV,3.243904536447153
103.00000000000001,14.000 MeV,3.217595234308376
104.00000002,0.000 MeV,5.6350794164805
104.00000002,0.525 MeV,2.072361224484099
104.00000002,14.000 MeV,2.47937507849357
104.99999998000001,0.000 MeV,2.8803581953253192
104.99999998000001,0.525 MeV,1.1963127212200497
104.99999998000001,14.000 MeV,1.8883766052550635
106.00000000000001,0.000 MeV,1.269630250133149
106.00000000000001,0.525 MeV,0.5323943970692012
106.00000000000001,14.000 MeV,1.6180944090346376
107.00000002000002,0.000 MeV,0.38322181688548673
107.00000002000002,0.525 MeV,0.30232635338804503
107.00000002000002,14.000 MeV,1.2906821310221015
107.99999998000001,0.000 MeV,0.09613605851118412
107.99999998000001,0.525 MeV,0.13081484007180505
107.99999998000001,14.000 MeV,1.1820823672930634
109.00000000000001,0.000 MeV,0.058227236754076483
109.00000000000001,0.525 MeV,0.08154530787692534
109.00000000000001,14.000 MeV,1.176073805626281
110.00000002000002,0.000 MeV,0.02544876440570971
110.00000002000002,0.525 MeV,0.06491468026309777
110.00000002000002,14.000 MeV,1.0906739132404888
110.99999998,0.000 MeV,0.03443448762726483
110.99999998,0.525 MeV,0.042576756910556394
110.99999998,14.000 MeV,1.0837519705862455
112.0,0.000 MeV,0.013044847953130982
112.0,0.525 MeV,0.03771179563512627
112.0,14.000 MeV,1.0020085764979676
113.00000002000002,0.000 MeV,0.014206767567787866
113.00000002000002,0.525 MeV,0.032613707683200835
113.00000002000002,14.000 MeV,1.0203522787597044
113.99999998000001,0.000 MeV,0.011834603975502095
113.99999998000001,0.525 MeV,0.032293876019968075
113.99999998000001,14.000 MeV,0.9842967495299642
115.0,0.000 MeV,0.012585880047560408
115.0,0.525 MeV,0.03387766242062649
115.0,14.000 MeV,1.1879463221519841
116.00000002,0.000 MeV,0.02125076377288867
116.00000002,0.525 MeV,0.034004149883922266
116.00000002,14.000 MeV,1.0221113073213302
116.99999998000001,0.000 MeV,0.012763695178503835
116.99999998000001,0.525 MeV,0.03681880763167267
116.99999998000001,14.000 MeV,0.9747391581488597
118.0,0.000 MeV,0.01814751451771645
118.0,0.525 MeV,0.03363159294365689
118.0,14.000 MeV,1.0863246683866565
119.00000002,0.000 MeV,0.024325380305919606
119.00000002,0.525 MeV,0.03501971186435551
119.00000002,14.000 MeV,1.044442044144057
119.99999998000001,0.000 MeV,0.014240764343197335
119.99999998000001,0.525 MeV,0.0352919576565488
119.99999998000001,14.000 MeV,1.0948175643340494
121.0,0.000 MeV,0.025049066346605073
121.0,0.525 MeV,0.03681053506615706
121.0,14.000 MeV,1.0580586633383167
121.0,14.300 MeV,0.9539999990820002
122.00000002,0.000 MeV,0.018849770037397934
122.00000002,0.525 MeV,0.04040864437009886
122.00000002,14.000 MeV,1.1504296346361356
