Z,A,E,Yield,N,Z_parity,N_parity,parity_product,parity_category,Z_magic_prox,N_magic_prox,Z_magic_dist,N_magic_dist,Z_shell_closure,N_shell_closure,any_shell_closure,N_over_Z,symmetry_energy,mass_excess
-0.8,0.342857143,0.000500538,0.000473279,1.142857143,1.2,1.142857143,1.3714285716,OE,0.3753736203551744,0.9150557148920059,2.8,0.8571428569999999,0,1,1,-1.4285714287517857,2.7523809516388895,1.9428571430000001
-0.783333333,0.342857143,0.000506062,0.000456519,1.1261904759999999,1.2166666670000001,1.1261904759999999,1.3701984128420635,OE,0.3797670399730623,0.9116929049353889,2.783333333,0.8738095240000001,0,1,1,-1.4376899699753203,2.658746690555218,1.909523809
-0.783333333,0.342857143,0.00039957,0.000456519,1.1261904759999999,1.2166666670000001,1.1261904759999999,1.3701984128420635,OE,0.3797670399730623,0.9116929049353889,2.783333333,0.8738095240000001,0,1,1,-1.4376899699753203,2.658746690555218,1.909523809
-0.783333333,0.342857143,0.000408877,0.000456519,1.1261904759999999,1.2166666670000001,1.1261904759999999,1.3701984128420635,OE,0.3797670399730623,0.9116929049353889,2.783333333,0.8738095240000001,0,1,1,-1.4376899699753203,2.658746690555218,1.909523809
-0.766666667,0.342857143,0.000437179,0.000465535,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.766666667,0.342857143,0.000416308,0.000465535,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.766666667,0.342857143,0.000477782,0.000465535,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.75,0.342857143,0.000210582,0.000232768,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
-0.75,0.342857143,0.000198902,0.000232768,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
-0.75,0.342857143,0.000265559,0.000232768,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
-0.733333333,0.342857143,0.000181107,0.000186214,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.733333333,0.342857143,0.000186541,0.000186214,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.733333333,0.342857143,0.000158891,0.000186214,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.833333333,0.342857143,0.0,0.0,1.176190476,1.1666666669999999,1.176190476,1.3722222223920633,OE,0.3666623897629833,0.921631885442489,2.833333333,0.8238095240000001,0,1,1,-1.411428571766265,2.9445105792486497,2.009523809
-0.816666667,0.342857143,3.09e-05,3.09e-05,1.15952381,1.183333333,1.15952381,1.3721031747801589,OE,0.3710053004578757,0.9183689030439022,2.816666667,0.84047619,0,1,1,-1.419825072891606,2.84763558315707,1.976190477
